Ticker,Company Name,Stock Exchange,Domiciled,Mine Location Country,Mine Location State/Region,Company Type,Primary Assets,Au/Ag Role,Primary Commodity,Notes
MAKO,Mako Mining Corp.,TSX.V,Canada,Nicaragua,Nueva Segovia,Producer (mid-tier),"San Albino Mine NI (high-grade, 7.2 g/t Au avg, 50-60koz/yr from open-pit+underground; highest-grade open-pit at commissioning in Americas in 2021); expansion to 100koz/yr",Primary,Gold,~$250M mkt cap; San Albino NI high-grade; CEO Akiba Leisman; cash flow positive; Nicaragua political risk; growing toward 100koz underground expansion; TSX.V: MKO; OTCQX: MAKOF
MAU,Monarch Mining Corporation,TSX,Canada,Canada,Quebec,Developer,"Wasamac QC (3.9Moz reserve, fully permitted underground, C$800M NPV); Beaufor QC (past-producing, restart-ready); McKenzie Break QC; Swanson QC",Primary,Gold,"~$300M mkt cap; Wasamac QC fully permitted — 3.9Moz @ 2.5 g/t Au; C$800M NPV at $1,800 Au; underground bulk tonnage; CEO Paraag Sharma; Beaufor restart adds near-term FCF; Quebec regulatory clarity premium; Osisko spinout pedigree"
ORE,Orezone Gold Corporation,TSX,Canada,Burkina Faso,Centre-Ouest Region,Producer (mid-tier),"Bomboré BF: Phase 1 open-pit 100koz/yr (in production 2023), Phase 2 sulphide mill 140koz/yr expansion; 5.7Moz resource; 85km paved road Ouagadougou",Primary,Gold,~$400M mkt cap; Bomboré BF Phase 1 in production; Phase 2 CIL mill transforms to 140koz; CEO Patrick Downey; Burkina Faso junta political risk offset by strategic location; TSX: ORE
NGD,New Gold Inc.,NYSE / TSX,Canada,Canada,"British Columbia, Ontario",Producer (mid-tier),"New Afton BC (Cu-Au block cave; C-Zone deepening adds production 2026+, ~30% copper revenue), Rainy River ON (Au-Ag open-pit + underground ramp)",Primary,Gold,~$2B mkt cap; New Afton BC: copper+gold block cave; Rainy River ON gold-silver; CEO Patrick Godin; copper revenue meaningful (~30%); TSX: NGD; NYSE: NGD; C-Zone new block cave adds production+FCF step-up 2026
CXB,Calibre Mining Corp.,TSX / NYSE,Canada,"Nicaragua, USA","Nueva Segovia NI, Nevada NV",Producer (mid-tier),"El Limon NI (Au-Ag underground), La Libertad NI (multi-pit), Pavon NI; Valentine Gold NL (Canada, acquired from Marathon Gold 2023; 3Moz reserve, 195koz/yr at full rate)",Primary,Gold,"~$1.5B mkt cap; Valentine Gold NL (Newfoundland) = transformational acquisition from Marathon 2023 — under construction, large CA project; Nicaragua operations generate FCF funding Valentine; CEO Darren Hall; TSX: CXB; NYSE: CXB"
SKE,Skeena Resources Limited,TSX / NYSE,Canada,Canada,British Columbia,Developer,Eskay Creek BC (legendary past-producer; restart as open-pit+underground; 10Moz AuEq reserve at 4.6 g/t; Tahltan Nation partnership; FS complete),Primary,Gold,~$1.5B mkt cap; Eskay Creek BC = most prolific Canadian gold mine in history (restart); 10Moz AuEq; high silver content ~80Moz Ag; CEO Walter Coles Jr.; FS complete; permitting advancing with Tahltan support; Golden Triangle BC; high ESG profile; NYSE: SKE
SGD,Snowline Gold Corp.,TSX / OTCQB,Canada,Canada,Yukon,Developer,"Valley Deposit YK: 7.94Moz Au M+I @ 1.21 g/t (204Mt); PEA complete Jul 2025 — low cost open pit; Rogue Project +3,600km² land; RIRGS intrusion-related gold system; added to GDXJ Mar 2026",Primary,Gold,~$2B mkt cap; Valley Deposit Yukon = one of world's most significant recent gold discoveries; 7.94Moz M+I high quality bulk tonnage; PEA strong economics Jul 2025; CEO Jordan Trimble; B2Gold 19.9% strategic stake; GDXJ inclusion Mar 2026 = institutional validation; 100% owned; TSX: SGD; OTCQB: SNWGF
NFGC,New Found Gold Corp.,TSX.V / NYSE,Canada,Canada,Newfoundland,Explorer/Developer,"Queensway Au Project NL: bonanza-grade drill results (e.g. 93.5 g/t over 6.7m; 24.8 g/t over 19m) in Appalachian gold belt; large 2,000km² land package; 5+ active zones",Primary,Gold,~$1B mkt cap; NYSE: NFGC; Queensway NL = one of highest-grade drill results in Canadian history 2020-2025; Newfoundland gold boom; CEO Collin Kettell; Caterpillar+Wheaton Precious Metals as stakeholders; FS not yet complete — still in resource definition; transformative discovery
AMK,Aris Mining Corporation,TSX / NYSE,Canada,Colombia,"Antioquia, Chocó",Producer (mid-tier),Segovia Au Complex CO (multiple underground mines; 230koz/yr; bonanza-grade veins); Marmato CO underground expansion; Soto Norte CO dev; GCM Mining merger 2023,Primary,Gold,~$1.5B mkt cap; Segovia CO mines complex = one of world's highest-grade Au ops ~20+ g/t; CEO Neil Woodyer; Marmato underground expansion doubles production; Colombia political risk elevated but established operations; NYSE: ARMN; TSX: ARIS
GGO,Gogold Resources Inc.,TSX,Canada,Mexico,"Jalisco, Durango",Explorer/Developer,"Los Ricos North+South Jalisco MX (epithermal Ag-Au; 11Moz AuEq combined resource, active growth drill program); Parral MX (Ag tailings retreatment, cash flow generating)",Primary,Gold,~$500M mkt cap; Los Ricos district Jalisco MX — growing via aggressive drilling 2024-2025; Parral tailings cash flow; CEO Brad Langille; PEA strong economics; Jalisco gold-silver corridor highly prospective; TSX: GGD
DRY,Dryden Gold Corp.,TSX.V,Canada,Canada,Ontario,Explorer/Developer,Confederacy Property ON: Gold Rock Camp (high-grade intercepts e.g. 8.2 g/t over 44m); Dryden Gold District ON; undervalued re high gold price environment per analyst commentary,Primary,Gold,~$100M mkt cap; Dryden Ontario gold district; Gold Rock Camp zone strong intercepts; CEO Tara Christie; Ontario junior with district-scale potential; cited as undervalued pick for high gold environment; TSX.V: DRY
RVG,Revival Gold Inc.,TSX.V / OTCQX,Canada,USA,"Idaho, Utah",Developer,"Beartrack-Arnett Au ID (1.7Moz Au; FS underway); Mercur Au UT (past-producing, 1Moz+, heap leach restart study); largest pure-gold US developer on TSXV",Primary,Gold,~$100M mkt cap; Beartrack-Arnett ID = largest pure-gold undeveloped US deposit on TSXV; Mercur UT past-producing restart; CEO Hugh Agro; Idaho + Utah = Tier-1 US jurisdictions; FS imminent for Beartrack; OTCQX: RVLGF
GEX,Gold Explorers,Note,N/A,N/A,N/A,Note,See Junior Gold Explorers section below for companies at exploration stage.,Primary,Gold,Placeholder row — see explorer section below
PPX,Perpetua Resources Corp.,NASDAQ / TSX,USA,USA,Idaho,Developer,Stibnite Gold Project ID: 4.8Moz Au + antimony resource (US only primary domestic antimony source); DOD critical mineral designation; AEM strategic investor; FS complete,Primary,Gold,~$500M mkt cap; Stibnite ID = gold + critical antimony (US defence strategic); DOD designation drives federal support; AEM strategic stake; final ROD (Record of Decision) environmental approval 2023; financing structure under discussion 2025; NASDAQ: PPTA; TSX: PPTA
MTA,Metals Acquisition Corp.,NYSE,USA,Australia,New South Wales,Royalty/Streaming,CSA Cobar NSW Cu mine (acquired from Glencore 2023; ~40Mt @ 3.5% Cu; 6.5Moz Ag resource); hybrid mine-owner + royalty/streaming acquisitions model; copper-silver mine,Primary,Gold,~$1.3B enterprise value; Unique: owns CSA NSW mine AND operates as royalty/streaming company; CSA high-grade Cu-Ag; CEO Michael McMullen; listed NYSE 2023 via SPAC; silver meaningful at CSA — note: if silver > 50% reclassify; currently primary value from Cu
PPTA,Perpetua Resources (see PPX above),Note,USA,USA,Idaho,Note,NASDAQ: PPTA = Perpetua Resources. Same as PPX entry. TSX: PPTA. See PPX entry above.,Primary,Gold,Same as PPX entry — Perpetua Resources trades as PPTA on NASDAQ and TSX
GS,Gran Tierra Energy (Mkt cap < gold),Note,N/A,N/A,N/A,Note,GS is Goldman Sachs on NYSE. Not a gold miner. Remove from database if added by mistake.,Primary,Gold,Not a gold company — Goldman Sachs Group NYSE: GS. Remove.
KDX,Klondike Gold Corp.,TSX.V / OTCQB,Canada,Canada,Yukon,Explorer,"Klondike District YK: Lone Star zone, Stander zone; 25km of Bonanza Creek valley; district-scale Au exploration in historic Klondike goldfields",Primary,Gold,~$50M mkt cap; Klondike District YK = historic goldfield with modern exploration upside; Lone Star zone phase 3 results Jan 2026; CEO Emily Doris; TSX.V: KG; OTCQB: KDKGF
ONYX,Onyx Gold Corp.,TSX.V,Canada,Canada,Ontario,Explorer,"Munro-Croesus Project ON: Timmins area, 109km²; historic Croesus mine (95.3 g/t historical grade); new zones expanding 2025; 846% share price gain YTD Jul 2025",Primary,Gold,~$120M mkt cap; best-performing TSXV gold stock to Jul 2025 (+846%); Munro-Croesus ON near Timmins; historic Croesus mine high grade; expanding land 200% 2020-2025; CEO; land acquisition 2025 adds 17 additional claims; active drill program summer 2025
PPP,Prospector Metals Corp.,TSX.V / OTCQB,Canada,Canada,Yukon,Explorer,"ML Gold Project YK: 10,869ha near Brewery Creek mine; Tintina Gold Belt; B2Gold strategic partner (19.9% stake); TESS Au-Cu zone discovery Oct 2025; led TSXV 50 2025",Primary,Gold,"~$200M mkt cap; #1 TSXV 50 performer 2025 (+1130% share price, +3122% mkt cap); B2Gold strategic 19.9% stake; TESS Au-Cu discovery zone Oct 2025; Tintina Gold Belt YK; strong institutional support from B2Gold; CEO"
BYN,Banyan Gold Corp.,TSX.V,Canada,Canada,Yukon,Explorer,"AurMac Property YK: Airstrip Deposit (1.6Moz Au M+I at low grade); Powerline zone; silver-rich high grade zones 2025 (10,734 g/t Ag over 1.7m confirming Keno-style); 143km² land",Primary,Gold,~$80M mkt cap; AurMac YK bulk-tonnage gold + high-grade Ag zones; dual gold-silver potential; Keno-style high-grade Ag zones discovered 2025 (note: if silver resource > 50% may reclassify); active 2025 drill program; TSX.V: BYN
SIT,Sitka Gold Corp.,CSE / OTCQB,Canada,Canada,Yukon,Explorer,RC Gold Project YK: Rhosgobel Discovery (RIRGS intrusion-related; 156.9m @ 1.00 g/t Au; expanding to 1.1km strike 2025); Blackjack YK; new board appointment Caroline Hendrick 2026,Primary,Gold,~$100M mkt cap; Rhosgobel discovery YK expanding rapidly — 1.1km strike; RIRGS system like Snowline Valley; CEO Cor Coe; CSE: SIG; OTCQB: SITKF; 150.3m @ 1.49 g/t Au + 99.1m @ 1.33 g/t Au drill results 2025; compelling Yukon explorer
KAT,Kaminak Gold (historical),Note,Canada,Canada,Yukon,Note,Kaminak Gold advanced Coffee Gold Project YK to bankable FS before acquisition by Goldcorp (now Newmont) in 2016 for C$520M. Historical reference. Coffee project now in Newmont pipeline.,Primary,Gold,Historical: Kaminak Coffee YK acquired by Goldcorp (Newmont) 2016 for C$520M. Coffee Project still in Newmont portfolio but not in production. Management team went on to Tectonic Metals and Snowline Gold.
TECT,Tectonic Metals Inc.,TSX.V / OTCQB,Canada,Canada,Yukon,Explorer,"Guess Creek (Chicken Mountain) YK: Alpha Bowl zone 3km+ gold system; 36.58m @ 9.94 g/t Au, incl. 22.86m @ 15.73 g/t Au; 2nd best TSXV gold 2026 YTD; Kaminak-pedigree management team",Primary,Gold,~$100M mkt cap (+175% YTD 2026); Chicken Mountain YK: Alpha Bowl zone 3km+ strike; strong intercepts Jan 2026; CEO Tony Reda; Kaminak pedigree management (Coffee Gold team); TSX.V: TECT; OTCQB: TETOF
PRCP,Precipitate Gold Corp.,TSX.V,Canada,Dominican Republic,"Sánchez Ramírez, San Juan",Explorer,"Pueblo Grande (adjacent Barrick's Pueblo Viejo), Juan de Herrera (adjacent GoldQuest Romero); Barrick 5yr technical data review 2025 at Pueblo Grande; C$6.5M placement Jan 2026",Primary,Gold,~$30M mkt cap; adjacent to world-class Pueblo Viejo (Barrick); Juan de Herrera adjacent GoldQuest Romero emerging deposit; Dominican Republic gold belt; IP survey 2025 shows untested anomalies; CEO Jeffrey Wilson
XALI,Xali Gold Corp.,TSX.V,Canada,Mexico,Veracruz,Explorer,El Oro Au-Ag MX: surface-access agreement with local community Mar 2026; Veracruz exploration; community agreement a key catalyst achieved; 175% gain YTD 2026,Primary,Gold,~$55M mkt cap (+175% YTD 2026); El Oro MX exploration; community agreement Mar 2026 = key permitting unlock; Veracruz Mexico exploration; TSX.V: XALI
LOD,Lode Gold Resources Inc.,TSX.V / OTCQB,Canada,Canada,Yukon,Explorer,Golden WIN Project YK: RIRGS targets in Tombstone Belt; 7 prospective targets confirmed 2025; similar geology to Snowline's Valley/Rogue system; regional intrusion-related gold,Primary,Gold,~$30M mkt cap; Tombstone Belt YK RIRGS targets confirmed 2025; similar geological setting to Snowline's Valley Deposit; CEO; TSX.V: LOD; OTCQB: LODFF; early-stage Yukon explorer
AGE,Adventure Gold Inc.,TSX.V,Canada,Canada,Quebec,Explorer,Pascalis-Colombière QC: adjacent Abitibi greenstone belt (Lamaque-Sigma mine vicinity); Meunier QC; Belleterre QC; Joutel QC; multiple Abitibi gold targets,Primary,Gold,~$20M mkt cap; Abitibi QC explorer multiple projects; Pascalis near Val-d'Or; TSX.V: AGE; early-stage Quebec Abitibi explorer with multiple drill targets
ABI,Abitibi Metals Corp.,TSX.V / OTCQB,Canada,Canada,Quebec,Explorer,B26 Deposit QC (Cu-Ag-Zn-Au polymetallic VMS; 43-101 technical report filed 2025); Abitibi Greenstone Belt QC; growing polymetallic resource,Primary,Gold,~$50M mkt cap; B26 Deposit QC NI 43-101 report 2025; polymetallic VMS — Au component meaningful; Abitibi Belt; TSX.V: AMQ; OTCQB: AMQFF
CSR,Cascadia Minerals Ltd.,TSX.V / OTCQB,Canada,Canada,Yukon,Explorer,Rosy Property YK: road-accessible south-central Yukon; widespread Au-Ag mineralization 850m x 500m area; 2025 exploration results confirm district potential,Primary,Gold,~$20M mkt cap; Rosy Property YK road-accessible (advantage); 2025 field work confirmed Au-Ag over large area; TSX.V: CAM; OTCQB: CAMNF
NVKG,Nevada King Gold Corp.,TSX.V / OTCQB,Canada,USA,Nevada,Developer,Atlanta Gold Mine NV (Battle Mountain trend; 1.02Moz Au M+I @ 1.14 g/t pit-constrained oxide); past-producing mine restart; year-round access; $16M financing incl $10M strategic investment 2025,Primary,Gold,~$80M mkt cap; Atlanta NV Battle Mountain trend 1.02Moz Au; past-producing; pit-constrained oxide; strategic $10M investment 2025; CEO Carl Brechtel; TSX.V: NKG; OTCQB: NVKGF
SCGO,Scorpio Gold Holdings Corp.,TSX.V,Canada,USA,Nevada,Developer,Manhattan District NV (Walker Lane Trend; Goldwedge Mine 400tpd mill; 4 past-producing pits acquired from Kinross 2021); advanced exploration/restart,Primary,Gold,~$20M mkt cap; Manhattan District NV Walker Lane; Goldwedge mine with 400tpd gravity mill; acquired Kinross pits 2021; CEO; TSX.V: SKR; late-stage exploration/restart candidate
TBX,Tectonic Metals (see TECT above),Note,N/A,N/A,N/A,Note,See TECT entry in Canada explorers section,Primary,Gold,Same as TECT — see that entry
USG,U.S. GoldMining Inc.,NASDAQ / TSX,USA,USA,Alaska,Developer,Whistler Au-Cu-Mo AK (KGC JV earn-in; 12.5Moz AuEq resource; large open-pit porphyry); PEA technical report filed 2025; Kinross JV exploration funding,Primary,Gold,~$300M mkt cap; Whistler AK = large Cu-Au-Mo porphyry system; Kinross JV funds exploration; PEA filed 2025; CEO Tim Smith; Alaska Tier-1 jurisdiction; NASDAQ: USGO; TSX: USGO
CTGO,"Contango ORE, Inc.",NYSE American,USA,USA,Alaska,Producer/Developer,"Lucky Shot Mine AK (Au-Ag high-grade underground, past-producing restart); Tetlin Au YK AK; merger with Dolly Varden Silver DV announced Dec 2025 to create North American high-grade Au-Ag producer",Primary,Gold,~$200M mkt cap; Lucky Shot AK high-grade underground gold; Tetlin Au leases; merger with Dolly Varden Silver (DV) announced Dec 2025 — creates new North American Au-Ag mid-tier; NYSE American: CTGO; post-merger entity will hold both AK gold and BC silver assets
IORI,Integra Resources Corp.,TSX.V / NYSE,Canada,USA,"Idaho, Nevada",Producer/Developer,"Fortitude (Delamar-Florida Mountain) ID: +6Moz AuEq resource, FS complete, permitting advancing; Black Sheep NV; producing from heap leach; strong Q4 2025 annual production",Primary,Gold,~$300M mkt cap; Delamar-Florida Mountain ID = largest undeveloped Au-Ag project in Idaho; FS complete; environmental review advancing; CEO George Salamis; TSX.V: ITR; NYSE American: ITRG; Q4 2025 strong annual production results
NKG,Nevada King Gold,Note,N/A,N/A,N/A,Note,Same as NVKG entry above. TSX.V: NKG. See NVKG entry.,Primary,Gold,TSX.V: NKG = Nevada King Gold. See NVKG entry.
GOR,Gold Road Resources Limited,ASX,Australia,Australia,Western Australia,Producer (mid-tier),Gruyere Mine WA (previously 50% JV with Gold Fields; GFI acquisition of GOR 2025 for A$3.7B — GOR delisted); flagship WA open-pit Au operation,Primary,Gold,Delisted 2025: Gold Fields (GFI) acquired Gold Road Resources (ASX: GOR) for A$3.7B in 2025. GOR shares converted to GFI equivalent. No longer trading independently. Gruyere WA now 100% GFI. See GFI entry.
DEG,De Grey Mining Limited,ASX,Australia,Australia,Western Australia,Developer,Hemi Gold Project WA (Pilbara; 9Moz Au resource; near-surface high-grade; A$5B acquisition by Northern Star Resources NST completed Apr 2025),Primary,Gold,Acquired by NST Apr 2025 for A$5B. De Grey shareholders received NST shares. ASX: DEG delisted post-merger. Hemi WA now development asset inside NST portfolio. See NST entry.
BGL,Bellevue Gold Limited,ASX,Australia,Australia,Western Australia,Producer (mid-tier),Bellevue Gold Project WA: high-grade underground gold mine (commenced production Jan 2024; 200koz/yr target); ~3.8Moz resource @11.3g/t; Lode 1 and Lode 2; Kalgoorlie region WA,Primary,Gold,~A$2B mkt cap; Bellevue Gold WA high-grade underground mine in production since Jan 2024; one of highest-grade new gold mines globally 11.3 g/t; CEO Darren Strauss; 200koz/yr target; strong WA management team; ASX: BGL
CMG,Capricorn Metals (see CMM above),Note,N/A,N/A,N/A,Note,Capricorn Metals ASX: CMM. See CMM entry in Major Producers section.,Primary,Gold,Same as CMM — ASX: CMM = Capricorn Metals. See CMM entry.
WGO,Westgold Resources (see WGX above),Note,N/A,N/A,N/A,Note,ASX: WGX = Westgold Resources. See WGX entry in Major Producers section.,Primary,Gold,Same as WGX — ASX: WGX = Westgold Resources. See WGX entry.
GRL,Greatland Gold plc,ASX,UK,Australia,Western Australia,Producer/Developer,"Havieron Au-Cu WA (world-class high-grade underground deposit, 100% since NEM exit 2024); Telfer Mine WA (restart alongside Havieron via shared infrastructure); listed ASX 2024",Primary,Gold,~A$1.5B mkt cap; Havieron WA 100% owned since Newmont exit 2024; Telfer WA restart alongside Havieron infrastructure; CEO Shaun Day; Maiden MRE Telfer Underground expected Q1 2026 — major share catalyst; transitioning from explorer to significant producer; ASX listed mid-2024
GNM,Genesis Minerals (see GMD above),Note,N/A,N/A,N/A,Note,ASX: GMD = Genesis Minerals. See GMD entry in Major Producers section.,Primary,Gold,Same as GMD — ASX: GMD = Genesis Minerals. See GMD entry.
CAT,Catalyst Metals Limited,ASX,Australia,Australia,Victoria,Explorer/Developer,Bendigo Gold District VIC: Whipstick gold project (high-grade historical district); Tullaroop; Maldon; Victorian goldfield exploration; consolidating Bendigo region claims,Primary,Gold,~A$200M mkt cap; Bendigo VIC Australia's most prolific historical goldfield; Whipstick project consolidation; historical mines = modern exploration infrastructure advantage; ASX: CYL
GOR.V,Gold Road Resources — see GOR above,Note,N/A,N/A,N/A,Note,GOR delisted 2025 — acquired by Gold Fields (GFI). See GOR and GFI entries.,Primary,Gold,Same as GOR — see that entry and GFI.
SLR,Silver Lake Resources Limited,ASX,Australia,Australia,Western Australia,Producer (mid-tier),"Deflector WA (Au-Cu underground, ~130koz/yr); Mount Monger WA operations (Sugar Zone, Daisy Milano, Lake Lefroy); Rothsay WA (dev); 300koz+ production portfolio",Primary,Gold,"~A$2B mkt cap; Deflector WA high-grade underground + Mount Monger WA multi-mine; ~300koz Au annual production; CEO Luke Tonkin; strong WA operational portfolio; note 'Silver Lake' = misleading name, primary gold producer; ASX: SLR"
SBM,St Barbara Limited,ASX,Australia,"Australia, Canada","Western Australia, Ontario",Producer (mid-tier),Leonora assets sold to Genesis Minerals 2023; Atlantic Gold NS (sold 2023); Simberi PNG; Gwalia WA (flagged for Genesis); now primarily Simberi PNG operations after asset sales,Primary,Gold,~A$500M mkt cap; greatly reduced after asset sales to Genesis (Leonora WA) and Equinox (Atlantic NS); Simberi PNG = remaining primary asset; CEO Craig Jetson; transformation from major producer to focused PNG single-asset company; future uncertain — potential acquisition target
TLM,Talisman Mining Ltd.,ASX,Australia,"Australia, Middle East","Western Australia, Oman",Explorer,Lachlan Copper Project WA; Al Zuhra Au-Cu Oman (JV); WA gold targets; early-stage explorer with Middle East + WA diversification,Primary,Gold,~A$30M mkt cap; early-stage explorer with WA + Oman portfolio; Al Zuhra Au-Cu Oman JV; ASX: TLM
GLDN,Golden Shield Resources Inc.,TSX.V,Canada,Guyana,Essequibo Region,Explorer,Arakaka Au Project GY: high-grade Au in Guyana's established mining region; GY jurisdiction increasingly accepted post-ExxonMobil oil boom; strategic land position,Primary,Gold,~$30M mkt cap; Arakaka Guyana high-grade gold explorer; Guyana jurisdiction improving; TSX.V: GLDN
GGI,Garibaldi Resources Corp.,TSX.V,Canada,"Canada, Mexico","British Columbia, Mexico",Explorer,Rodadero Au-Cu-Ag Mexico (silver-rich); British Columbia targets; Nickel Mountain BC (historical); Mexican silver+gold exploration,Primary,Gold,~$30M mkt cap; dual Canada+Mexico exploration; TSX.V: GGI; note Nickel Mountain BC also in nickel database
PCLO,Precipitate Gold (see PRCP above),Note,N/A,N/A,N/A,Note,Same as PRCP entry. TSX.V: PG. See PRCP entry in Canada explorers section.,Primary,Gold,Same as PRCP — see that entry
SLZ,San Lorenzo Gold Corp.,TSX.V,Canada,Chile,Atacama (Chañaral Province),Explorer,"Salvadora Au-Cu Porphyry CL: 9,000ha; Cerro Blanco porphyry target; geology similar to Codelco Salvador mine; #1 TSXV Au stock 2025 (+1000%); C$20M placement Mar 2026",Primary,Gold,~$400M mkt cap; #1 TSXV gold stock 2025 (+1000%); Cerro Blanco porphyry CL: 222.4m drilling highlight Jan 2026; C$20M financing Feb 2026 fully subscribed; CEO; Codelco Salvador mine analogue geology; rapid re-rating story; TSX.V: SLZ
WEB,Westhaven Gold Corp.,TSX.V,Canada,Canada,British Columbia,Explorer,"Spences Bridge Gold Belt BC (30,000ha; 110km belt; Sona Zone, South Zone, Nickel Plate Bench); largest claim holder on SBGB; epithermal Au-Ag system",Primary,Gold,~$80M mkt cap; Spences Bridge Gold Belt BC = Westhaven largest claim holder; Sona Zone discovery multi-year drilling; epithermal Au-Ag system; CEO Gareth Thomas; TSX.V: WHN
AAG,Adventure Gold (see AGE above),Note,N/A,N/A,N/A,Note,See AGE entry in Canada Explorers section. TSX.V: AGE,Primary,Gold,Same as AGE — see that entry
ELRA,Eldorado Gold Corp.,NYSE / TSX,Canada,"Greece, Türkiye, Romania, Canada","Kassandra GR, Çöpler adj TK, Brad RO, Lamaque QC",Producer (mid-tier),"Lamaque QC (high-grade underground ~125koz/yr), Kisladag TR (heap leach), Olympias GR (Au-Ag-Pb-Zn), Skouries GR (Cu-Au dev, construction started 2023); Brad RO dev",Primary,Gold,~$3B mkt cap; Skouries GR Cu-Au development = transformational 2025 construction; Lamaque QC high-grade production; CEO George Burns; Greece/Turkey dual exposure; NYSE: EGO; TSX: ELD; Skouries first ore expected 2026
SLV,iShares Silver Trust,NYSE,USA,USA (trust),JPMorgan London vaults,Physical ETF,"Silver bullion trust; ~14,000 tonnes Ag held by JPMorgan as custodian in London; 1/100th oz per share adjusted for fees; cash-settled redemption",Primary,Silver,AUM ~$15B; 0.50% MER; tracks XAG/USD spot; JPMorgan Chase Bank custodian London; very high liquidity; Jan 2021 Reddit silver squeeze briefly created 10+ Moz single-day inflow; no physical redemption right vs PSLV
PSLV,Sprott Physical Silver Trust,NYSE / TSX,Canada,Canada,Royal Canadian Mint,Physical ETF,Closed-end fund; physically redeemable for silver bars; held at Royal Canadian Mint; trades at premium/discount to NAV; unique physical delivery right,Primary,Silver,AUM ~$5B; redeemable in physical silver bars; closed-end structure; Sprott AM; TSX: PSLV; premium surged +10% during Jan 2021 Reddit silver short squeeze; sometimes trades at discount to NAV; similar concept to PHYS for gold
SIVR,abrdn Physical Silver Shares ETF,NYSE,USA,UK,JPMorgan London vaults,Physical ETF,Physical silver ETF; 0.30% MER; backed by allocated silver bullion; abrdn issuer; competitive to SLV; silver held in London allocated vaults,Primary,Silver,AUM ~$900M; 0.30% MER — cheaper than SLV (0.50%); good SLV alternative; abrdn (Aberdeen Standard) issuer; allocated silver in JPMorgan London vaults; shares = 1/100th oz silver (adjusted for fees)
ETPMAG,WisdomTree Physical Silver,LSE / various,UK,UK,HSBC London vaults,Physical ETF,"UK/Europe listed physical silver ETP; WisdomTree issuer; HSBC London custodian; AUD, GBP, USD share classes; popular European silver instrument",Primary,Silver,"European physical silver ETP; WisdomTree issuer; HSBC custody; multiple currency listings across LSE, Euronext, Xetra, Borsa Italiana; popular UK+EU investor instrument; 0.49% MER"
PMAG,Perth Mint Physical Silver,ASX,Australia,Australia,Perth Mint,Physical ETF,ASX-listed physical silver ETF backed by Perth Mint; WA Government guarantee; AUD-denominated; PMAG on ASX; lowest cost ASX silver ETF,Primary,Silver,ASX-listed physical silver ETP; Perth Mint custody with WA Govt guarantee; AUD denominated; 0.45% MER; ideal Australian silver exposure without currency hedging; ASX: PMAG
SIL,Global X Silver Miners ETF,NYSE,USA,Global,Global,ETF (silver miners),"Silver mining companies basket; Solactive Global Silver Miners Index; top holdings WPM ~20%, PAAS ~15%, AG ~8%, CDE ~7%, MAG ~5%; up 124% in 2025",Primary,Silver,AUM ~$3.5B; 0.65% MER; largest dedicated silver miner ETF; WPM included despite being a streamer due to silver exposure; SIL +124% in 2025; ETF flows $936M inflow 2025; top pure-play silver equity ETF; reflects industrial+monetary silver demand drivers
SILJ,AMPLIFY Junior Silver Miners ETF,NYSE,USA,Global,Global,ETF (junior silver),"Junior silver miners and explorers; PureFunds ISE Junior Silver Index; higher beta than SIL; includes MAG Silver, Endeavour Silver, Silvercorp, Fortuna, Gatos; +131% in 2025",Primary,Silver,AUM ~$1.2B; 0.69% MER; SILJ +131% in 2025; higher beta than SIL — more upside in silver bull; inflows $480M in 2025; smaller-cap focus; includes developer/explorer mix; more volatile than SIL; best for high conviction silver bull
SLVP,iShares MSCI Global Silver+Metals Miners ETF,NYSE,USA,Global,Global,ETF (silver miners),"MSCI ACWI Select Silver Miners IMI Index; ESG screened; includes silver-heavy base metal producers like Fresnillo, Polymetal; broader than SIL",Primary,Silver,"AUM ~$250M; 0.39% MER — cheaper than SIL; MSCI methodology; includes Fresnillo (world's largest primary Ag producer), Polymetal; more geographically diversified than SIL; good complement to SIL for full-universe silver mining exposure"
WPMXAG,Wheaton Silver Streams (within WPM),Note,Canada,Global,Global,Note,"NOTE: Wheaton Precious Metals (WPM) has 36% silver revenue. WPM is classified in GOLD tab (60% gold dominant). For pure silver streaming, see Discovery Silver (DSV) WPM stream.",Primary,Silver,"WPM has significant silver streaming (Antamina, Penasquito, Salobo, Stillwater) but is >50% gold by revenue. Classified in Gold tab. Silver-dominant streaming company pure-plays are limited — most streamers are gold-dominant."
DSV,Discovery Silver Corp.,TSX,Canada,Mexico,Chihuahua,Developer,Cordero MX: 1.3Blb AgEq resource (world's 4th largest undeveloped Ag deposit); WPM streaming agreement; FS complete; open-pit bulk tonnage; CEO Tony Makuch (ex-Kirkland Lake),Primary,Silver,~$1.5B mkt cap; Cordero Chihuahua MX = one of world's largest undeveloped Ag deposits 1.3Blb AgEq; FS: $500M NPV @ $20 Ag; WPM stream agreed 2023; CEO Tony Makuch; bulk tonnage low-grade; Chihuahua jurisdiction; permitting advancing; TSX: DSV; development-stage
